t,producer_price_index_MoM_change
2015-09-01,-0.002277904328018221
2015-10-01,-0.004566210045662045
2015-11-01,-0.0011467889908257645
2015-12-01,-0.003444316877152631
2016-01-01,-0.008064516129032251
2016-02-01,-0.00464576074332157
2016-03-01,0.0
2016-04-01,0.0
2016-05-01,0.003500583430571691
2016-06-01,0.0034883720930232176
2016-07-01,0.002317497103128563
2016-08-01,-0.0011560693641617936
2016-09-01,0.0
2016-10-01,0.004629629629629539
2016-11-01,0.005760368663594528
2016-12-01,0.00572737686139746
2017-01-01,0.004555808656036442
2017-02-01,0.0011337868480725266
2017-03-01,0.0011325028312572094
2017-04-01,0.0011312217194570096
2017-05-01,-0.001129943502824804
2017-06-01,0.0011312217194570096
2017-07-01,0.001129943502824693
2017-08-01,0.0011286681715576563
2017-09-01,0.005636978579481422
2017-10-01,0.0022421524663678305
2017-11-01,0.0
2017-12-01,0.003355704697986628
2018-01-01,0.004459308807134743
2018-02-01,-0.00221975582685896
2018-03-01,0.0011123470522802492
2018-04-01,0.0022222222222223476
2018-05-01,0.0044345898004434225
2018-06-01,0.004415011037527616
2018-07-01,0.00219780219780219
2018-08-01,0.002192982456140413
2018-09-01,0.006564551422319376
2018-10-01,0.0021739130434783593
2018-11-01,0.0032537960954446277
2018-12-01,-0.00324324324324321
2019-01-01,0.002169197396963085
2019-02-01,-0.0021645021645021467
2019-03-01,0.0
2019-04-01,0.002169197396963085
2019-05-01,-0.0010822510822511289
2019-06-01,-0.0021668472372697867
2019-07-01,0.0
2019-08-01,-0.0032573289902280145
2019-09-01,0.0010893246187364536
2019-10-01,-0.0021762785636562088
2019-11-01,0.0021810250817884125
2019-12-01,0.0010881392818280489
2020-01-01,0.005434782608695565
2020-02-01,-0.00324324324324321
2020-03-01,-0.008676789587852451
2020-04-01,-0.00875273522975939
2020-05-01,-0.0033112582781457123
2020-06-01,0.0011074197120710672
2020-07-01,0.0022123893805308104
2020-08-01,0.0011037527593820151
2020-09-01,0.00330760749724357
2020-10-01,0.00219780219780219
2020-11-01,0.0032894736842103978
2020-12-01,0.007650273224043769
2021-01-01,0.01193058568329719
2021-02-01,0.007502679528403
2021-03-01,0.009574468085106425
2021-04-01,0.008429926238145313
2021-05-01,0.011494252873563093
2021-06-01,0.011363636363636465
2021-07-01,0.018386108273748647
2021-08-01,0.013039117352056095
2021-09-01,0.017821782178217838
2021-10-01,0.03015564202334642
2021-11-01,0.011331444759206777
2021-12-01,0.03454715219421112
2022-01-01,0.035198555956678756
2022-02-01,0.013077593722754965
2022-03-01,0.04819277108433728
2022-04-01,0.027093596059113212
2022-05-01,0.015987210231814597
2022-06-01,0.007081038552321006
2022-07-01,0.03671874999999991
2022-08-01,0.05425772418990227
2022-09-01,0.017155110793424022
2022-10-01,-0.01967673928320457
2022-11-01,-0.03010752688172036
2022-12-01,-0.005912786400591341
2023-01-01,-0.0074349442379182396
2023-02-01,-0.008239700374531811
2023-03-01,-0.01132930513595165
2023-04-01,0.005347593582887722
2023-05-01,-0.011398176291793294
2023-06-01,-0.00384319754035356
2023-07-01,-0.006172839506172756
2023-08-01,0.0031055900621115295
2023-09-01,0.0015479876160993111
2023-10-01,-0.0007727975270478415
2023-11-01,-0.005413766434648193
2023-12-01,-0.006998444790046632
2024-01-01,-0.000783085356303892
2024-02-01,-0.00470219435736674
2024-03-01,0.0015748031496063408
2024-04-01,0.0007861635220125507
2024-05-01,0.0
2024-06-01,0.002356637863315081
2024-07-01,0.0015673981191222097
2024-08-01,0.003129890453833939
2024-09-01,-0.004680187207488307
2024-10-01,0.0015673981191222097
2024-11-01,0.007042253521126751
2024-12-01,-0.0007770007770007137
2025-01-01,-0.0031104199066874783
2025-02-01,-0.002340093603743987
2025-03-01,-0.0070367474589523304
2025-04-01,-0.007086614173228423
2025-05-01,-0.0023790642347343294
2025-06-01,0.0007949125596184992
2025-07-01,0.000794281175536149
2025-08-01,-0.004761904761904745
2025-09-01,0.0
2025-10-01,0.0007974481658692412
2025-11-01,0.0015936254980080111
2025-12-01,-0.0015910898965791898
2026-01-01,-0.007968127490039834
