t,export_price_index_MoM_change
1999-12-01,0.0049443757725586845
2000-01-01,0.002460024600245969
2000-02-01,0.0012269938650306678
2000-03-01,0.002450980392156854
2000-04-01,0.003667481662591676
2000-05-01,0.0036540803897686658
2000-06-01,0.0
2000-07-01,0.0024271844660193054
2000-08-01,0.004842615012106588
2000-09-01,0.004819277108433884
2000-10-01,0.004796163069544335
2000-11-01,0.0
2000-12-01,-0.0023866348448687846
2001-01-01,-0.0023923444976075015
2001-02-01,0.0011990407673860837
2001-03-01,0.0011976047904191933
2001-04-01,0.0011961722488038617
2001-05-01,0.0011947431302268274
2001-06-01,0.0
2001-07-01,0.0
2001-08-01,-0.0035799522673031214
2001-09-01,-0.0023952095808383866
2001-10-01,-0.0012004801920767472
2001-11-01,0.0012019230769229061
2001-12-01,0.0012004801920768582
2002-01-01,0.0
2002-02-01,-0.0023980815347721673
2002-03-01,0.0024038461538462563
2002-04-01,0.0
2002-05-01,-0.0011990407673861947
2002-06-01,0.0
2002-07-01,-0.0012004801920767472
2002-08-01,0.0012019230769229061
2002-09-01,0.0
2002-10-01,0.0
2002-11-01,0.0
2002-12-01,0.0012004801920768582
2003-01-01,0.0023980815347719453
2003-02-01,0.0
2003-03-01,-0.0023923444976075015
2003-04-01,-0.0023980815347721673
2003-05-01,-0.0036057692307691624
2003-06-01,-0.0012062726176116367
2003-07-01,0.0
2003-08-01,0.0024154589371980784
2003-09-01,0.0
2003-10-01,0.0
2003-11-01,0.00120481927710836
2003-12-01,-0.001203369434416346
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0036144578313253017
2004-04-01,0.0012004801920768582
2004-05-01,0.003597122302158251
2004-06-01,-0.0011947431302270495
2004-07-01,0.0
2004-08-01,0.0035885167464115852
2004-09-01,-0.0011918951132301459
2004-10-01,0.0035799522673030104
2004-11-01,0.0
2004-12-01,-0.0023781212841853527
2005-01-01,0.0023837902264598476
2005-02-01,0.0011890606420927874
2005-03-01,0.0
2005-04-01,-0.002375296912114022
2005-05-01,-0.0011904761904760752
2005-06-01,0.0023837902264598476
2005-07-01,0.0023781212841855748
2005-08-01,0.0
2005-09-01,0.003558718861209842
2005-10-01,0.0023640661938535423
2005-11-01,0.0
2005-12-01,0.002358490566037874
2006-01-01,0.0
2006-02-01,0.0023529411764706687
2006-03-01,0.0011737089201877549
2006-04-01,0.0023446658851113966
2006-05-01,0.002339181286549641
2006-06-01,0.001166861143523823
2006-07-01,0.002331002331002363
2006-08-01,0.0011627906976743319
2006-09-01,-0.0011614401858303092
2006-10-01,0.0046511627906977715
2006-11-01,0.0023148148148146586
2006-12-01,0.0011547344110856006
2007-01-01,-0.0011534025374856371
2007-02-01,-0.0011547344110853786
2007-03-01,0.0011560693641616826
2007-04-01,0.0
2007-05-01,0.0011547344110856006
2007-06-01,0.0023068050749712743
2007-07-01,0.0
2007-08-01,0.0
2007-09-01,0.0
2007-10-01,0.0011507479861909697
2007-11-01,0.0022988505747125743
2007-12-01,0.0011467889908256534
2008-01-01,0.00572737686139746
2008-02-01,0.002277904328018332
2008-03-01,0.0
2008-04-01,0.0
2008-05-01,0.00454545454545463
2008-06-01,0.005656108597285048
2008-07-01,0.004499437570303577
2008-08-01,0.0
2008-09-01,-0.0011198208286673506
2008-10-01,-0.005605381165919243
2008-11-01,-0.005636978579481422
2008-12-01,-0.009070294784580435
2009-01-01,-0.004576659038901698
2009-02-01,-0.0022988505747126853
2009-03-01,-0.004608294930875445
