t,retail_sales_MoM_change
1965-04-01,0.04858299595141702
1965-05-01,-0.013513513513513487
1965-06-01,0.009784735812133016
1965-07-01,0.005813953488372103
1965-08-01,-0.0019267822736031004
1965-09-01,0.005791505791505891
1965-10-01,0.0038387715930900956
1965-11-01,-0.003824091778202643
1965-12-01,-0.02303262955854135
1966-01-01,0.037328094302554016
1966-02-01,0.009469696969697017
1966-03-01,0.0037523452157599557
1966-04-01,-0.01495327102803734
1966-05-01,0.030360531309297834
1966-06-01,-0.03314917127071815
1966-07-01,0.03428571428571425
1966-08-01,-0.018416206261510082
1966-09-01,0.0
1966-10-01,-0.0018761726078798668
1966-11-01,-0.016917293233082775
1966-12-01,-0.019120458891013437
1967-01-01,0.07797270955165692
1967-02-01,-0.03435804701627487
1967-03-01,-0.016853932584269593
1967-04-01,-0.003809523809523818
1967-05-01,-0.003824091778202643
1967-06-01,0.030710172744721653
1967-07-01,-0.007448789571694703
1967-08-01,-0.0056285178236397115
1967-09-01,0.020754716981132182
1967-10-01,-0.02402957486136792
1967-11-01,-0.02083333333333326
1967-12-01,0.09864603481624745
1968-01-01,-0.06866197183098588
1968-02-01,-0.001890359168241984
1968-03-01,0.03409090909090917
1968-04-01,0.023809523809523725
1968-05-01,-0.02146690518783534
1968-06-01,0.007312614259597838
1968-07-01,-0.003629764065335772
1968-08-01,0.030965391621129434
1968-09-01,0.0017667844522968323
1968-10-01,-0.00881834215167554
1968-11-01,0.02491103202846978
1968-12-01,-0.0017361111111111605
1969-01-01,0.012173913043478368
1969-02-01,-0.0068728522336770626
1969-03-01,0.02422145328719738
1969-04-01,-0.015202702702702853
1969-05-01,0.03430531732418518
1969-06-01,-0.008291873963515717
1969-07-01,0.008361204013378032
1969-08-01,0.028192371475953548
1969-09-01,-0.006451612903225823
1969-10-01,0.008116883116883189
1969-11-01,0.008051529790660261
1969-12-01,-0.0015974440894569453
1970-01-01,-0.006399999999999961
1970-02-01,0.008051529790660261
1970-03-01,0.006389776357827559
1970-04-01,0.014285714285714235
1970-05-01,0.007824726134585402
1970-06-01,0.02329192546583858
1970-07-01,0.007587253414264028
1970-08-01,-0.027108433734939874
1970-09-01,0.024767801857585203
1970-10-01,0.012084592145015005
1970-11-01,0.011940298507462588
1970-12-01,-0.005899705014749124
1971-01-01,0.010385756676557722
1971-02-01,-0.00587371512481627
1971-03-01,0.005908419497784312
1971-04-01,0.010279001468428861
1971-05-01,0.007267441860465018
1971-06-01,-0.0028860028860029363
1971-07-01,0.0
1971-08-01,-0.010130246020260358
1971-09-01,0.01900584795321625
1971-10-01,0.010043041606886627
1971-11-01,-0.0028409090909091717
1971-12-01,-0.04131054131054135
1972-01-01,0.0520059435364042
1972-02-01,0.011299435028248483
1972-03-01,0.016759776536312998
